t_ms,Vbat_mean,Vbus_INA,Vbat_ADS,Vsh_mV,I_A,mode,T_C
91031,4.1974,4.2091,4.1863,50.823,0.5074,DISCH,27.77
92070,4.1973,4.2074,4.1867,50.93,0.5089,DISCH,27.79
93080,4.1965,4.2085,4.1856,50.943,0.5077,DISCH,27.81
94055,4.1963,4.2082,4.1845,50.78,0.5087,DISCH,27.81
95030,4.1968,4.2086,4.1848,50.688,0.5085,DISCH,27.8
96061,4.1967,4.2079,4.1857,50.765,0.5088,DISCH,27.78
97085,4.1981,4.2103,4.1884,50.266,0.5075,DISCH,27.74
98081,4.1961,4.2078,4.1852,50.894,0.5092,DISCH,27.8
99046,4.1958,4.2071,4.1849,50.451,0.5077,DISCH,27.77
100083,4.1981,4.2093,4.1865,51.1,0.5107,DISCH,27.75
101113,4.1971,4.2086,4.1845,51.232,0.5087,DISCH,27.79
102108,4.197,4.2084,4.1858,50.65,0.5071,DISCH,27.78
103152,4.1959,4.2083,4.1867,50.971,0.509,DISCH,27.77
104190,4.1965,4.2102,4.1862,50.876,0.5087,DISCH,27.79
105188,4.1965,4.2075,4.185,51.031,0.5109,DISCH,27.78
106196,4.1978,4.2106,4.1862,51.002,0.5091,DISCH,27.78
107181,4.1974,4.2065,4.1852,50.747,0.5083,DISCH,27.76
108184,4.196,4.2062,4.1837,51.15,0.5083,DISCH,27.74
109147,4.1956,4.2074,4.1838,51.013,0.512,DISCH,27.76
110168,4.1968,4.2092,4.1863,50.53,0.5084,DISCH,27.75
111139,4.1972,4.2076,4.1866,50.98,0.5103,DISCH,27.78
112169,4.1977,4.2075,4.1867,51.008,0.5079,DISCH,27.77
113148,4.1965,4.2062,4.1855,50.851,0.5083,DISCH,27.75
114190,4.198,4.2096,4.1866,51.312,0.5106,DISCH,27.82
115184,4.1978,4.2093,4.1863,50.858,0.5092,DISCH,27.78
116218,4.1964,4.2089,4.1845,50.68,0.5069,DISCH,27.77
117266,4.1967,4.2086,4.1857,51.018,0.5088,DISCH,27.77
118272,4.1968,4.2089,4.1854,50.773,0.5084,DISCH,27.78
119244,4.1968,4.2092,4.187,51.039,0.5087,DISCH,27.8
120236,4.198,4.2077,4.1877,50.94,0.5089,DISCH,27.77
121240,4.1958,4.2066,4.1856,50.835,0.5094,DISCH,27.81
122238,4.1957,4.2063,4.1834,51.189,0.5086,DISCH,27.8
123262,4.1956,4.2046,4.1845,50.917,0.5103,DISCH,27.78
124221,4.1954,4.2059,4.1837,51.246,0.5098,DISCH,27.75
125191,4.1965,4.2086,4.1849,51.483,0.5118,DISCH,27.76
126186,4.1973,4.2084,4.1856,50.945,0.5097,DISCH,27.76
127228,4.1947,4.2058,4.1841,50.444,0.5095,DISCH,27.78
128225,4.1962,4.2056,4.1843,50.918,0.5079,DISCH,27.78
129303,4.1954,4.207,4.1839,50.271,0.5087,DISCH,27.8
130229,4.1954,4.2073,4.1841,50.857,0.5088,DISCH,27.8
131222,4.1956,4.208,4.185,50.948,0.508,DISCH,27.8
132209,4.1976,4.2095,4.1867,50.95,0.5093,DISCH,27.79
133186,4.1957,4.2064,4.1846,51.162,0.5094,DISCH,27.77
134212,4.1963,4.207,4.1844,51.158,0.509,DISCH,27.77
135250,4.1945,4.2053,4.1847,50.979,0.5106,DISCH,27.79
136255,4.196,4.2088,4.1829,50.911,0.5111,DISCH,27.75
137227,4.1957,4.2064,4.1827,50.995,0.5088,DISCH,27.8
138256,4.1956,4.2066,4.1859,50.58,0.5091,DISCH,27.78
139257,4.1961,4.2055,4.185,50.823,0.5079,DISCH,27.77
140315,4.1939,4.206,4.1831,51.025,0.5101,DISCH,27.76
141284,4.1974,4.2092,4.1864,51.107,0.5101,DISCH,27.77
142307,4.1961,4.2064,4.1841,51.06,0.5082,DISCH,27.8
143345,4.195,4.2073,4.1837,50.282,0.5072,DISCH,27.77
144325,4.196,4.206,4.1853,50.849,0.5085,DISCH,27.76
145352,4.1941,4.205,4.1827,51.405,0.5116,DISCH,27.8
146366,4.1962,4.2066,4.1844,50.962,0.5106,DISCH,27.78
147409,4.1963,4.2082,4.1855,50.591,0.5092,DISCH,27.77
148387,4.1965,4.2079,4.1859,50.929,0.5092,DISCH,27.78
149312,4.1943,4.2057,4.183,50.742,0.5086,DISCH,27.8
150330,4.1952,4.2082,4.184,51.111,0.5077,DISCH,27.78
151319,4.1955,4.2062,4.1842,50.817,0.5105,DISCH,27.79
152314,4.1956,4.208,4.1865,50.654,0.5075,DISCH,27.78
153351,4.1971,4.2104,4.1871,50.78,0.5096,DISCH,27.76
154361,4.1957,4.2059,4.1841,51.057,0.5093,DISCH,27.78
155381,4.1955,4.2068,4.1855,50.8,0.5088,DISCH,27.76
156383,4.1956,4.207,4.1847,50.767,0.5085,DISCH,27.78
157401,4.1956,4.2072,4.1845,50.634,0.5087,DISCH,27.78
158389,4.1971,4.211,4.1853,51.099,0.5106,DISCH,27.74
159348,4.1953,4.2055,4.1838,50.926,0.5086,DISCH,27.79
160360,4.1968,4.2073,4.1873,50.943,0.5099,DISCH,27.77
161344,4.196,4.2087,4.1846,51.104,0.509,DISCH,27.75
162347,4.1969,4.2066,4.1853,50.753,0.5092,DISCH,27.77
163339,4.1961,4.207,4.1857,50.809,0.5095,DISCH,27.79
164341,4.194,4.206,4.1818,50.846,0.5109,DISCH,27.79
165362,4.195,4.2064,4.1846,51.226,0.5104,DISCH,27.78
166374,4.1946,4.2056,4.1851,50.862,0.5095,DISCH,27.75
167407,4.1946,4.2061,4.1847,50.812,0.5092,DISCH,27.74
168390,4.1938,4.2032,4.1827,51.152,0.5104,DISCH,27.77
169418,4.1952,4.2058,4.1845,50.236,0.5076,DISCH,27.77
170381,4.196,4.2066,4.1865,50.809,0.5088,DISCH,27.76
171390,4.1964,4.2079,4.186,50.812,0.5085,DISCH,27.8
172363,4.1932,4.2049,4.1816,50.745,0.5083,DISCH,27.8
173357,4.1951,4.2067,4.1822,51.082,0.5091,DISCH,27.78
174339,4.1952,4.2068,4.1833,50.799,0.5082,DISCH,27.75
175312,4.1956,4.2062,4.1843,51.05,0.5085,DISCH,27.77
176279,4.1944,4.2041,4.1825,50.737,0.5107,DISCH,27.79
177288,4.1943,4.2051,4.1827,50.176,0.5059,DISCH,27.78
178247,4.1952,4.206,4.1844,50.838,0.5098,DISCH,27.79
179195,4.1944,4.2066,4.1827,51.053,0.5092,DISCH,27.78
180142,4.1937,4.2049,4.1821,51.005,0.5091,DISCH,27.76
181064,4.1945,4.2073,4.1846,51.133,0.509,DISCH,27.78
182024,4.1967,4.2069,4.1849,50.828,0.5089,DISCH,27.78
183055,4.1956,4.2057,4.1849,50.917,0.5103,DISCH,27.78
184078,4.195,4.2059,4.1829,50.758,0.5084,DISCH,27.76
185041,4.1942,4.2053,4.1822,51.059,0.5095,DISCH,27.8
186059,4.1958,4.2083,4.186,50.967,0.5102,DISCH,27.81
187023,4.1934,4.2043,4.1833,50.677,0.5093,DISCH,27.8
188045,4.1942,4.2055,4.182,50.895,0.51,DISCH,27.77
189009,4.1935,4.2047,4.181,51.282,0.5096,DISCH,27.79
189990,4.1942,4.2056,4.1826,51.159,0.5105,DISCH,27.8
191022,4.1939,4.2057,4.1821,50.751,0.5078,DISCH,27.76
192055,4.1946,4.2072,4.182,51.0,0.5092,DISCH,27.79
193041,4.1944,4.205,4.1826,50.714,0.5095,DISCH,27.75
194037,4.1954,4.2061,4.1826,50.923,0.5089,DISCH,27.8
194997,4.1937,4.2051,4.1831,50.829,0.5089,DISCH,27.8
196042,4.1961,4.2063,4.184,50.798,0.5076,DISCH,27.79
197042,4.1955,4.2077,4.184,51.088,0.5099,DISCH,27.76
197964,4.193,4.2017,4.1841,50.716,0.5089,DISCH,27.78
198952,4.194,4.2047,4.1812,50.844,0.5096,DISCH,27.78
199941,4.1935,4.2043,4.1827,50.792,0.5082,DISCH,27.8
200977,4.1935,4.2048,4.182,51.126,0.5076,DISCH,27.76
201975,4.1942,4.2058,4.185,50.994,0.5102,DISCH,27.77
202979,4.193,4.2038,4.1815,50.962,0.509,DISCH,27.77
203986,4.1931,4.205,4.1805,51.149,0.5104,DISCH,27.82
204977,4.1942,4.2054,4.1836,51.19,0.5098,DISCH,27.79
205962,4.1949,4.206,4.1831,50.938,0.509,DISCH,27.78
206941,4.1942,4.2042,4.1827,51.031,0.5101,DISCH,27.8
207941,4.1949,4.2052,4.1838,50.553,0.509,DISCH,27.78
208941,4.1935,4.2052,4.1814,50.858,0.5086,DISCH,27.78
209933,4.197,4.2078,4.1858,51.156,0.5093,DISCH,27.77
210876,4.1938,4.2057,4.1837,51.092,0.5101,DISCH,27.76
211935,4.1949,4.2061,4.1839,50.711,0.5084,DISCH,27.78
212937,4.1939,4.2052,4.1822,51.192,0.5108,DISCH,27.81
213875,4.1944,4.2054,4.184,50.867,0.5099,DISCH,27.77
214841,4.1922,4.203,4.1794,50.966,0.5101,DISCH,27.78
215802,4.193,4.2029,4.1832,51.292,0.5113,DISCH,27.78
216767,4.1947,4.2034,4.1833,50.643,0.5086,DISCH,27.75
217799,4.1935,4.2057,4.1824,51.146,0.51,DISCH,27.77
218787,4.1943,4.2043,4.183,50.912,0.5077,DISCH,27.8
219788,4.1941,4.2052,4.1838,50.692,0.5088,DISCH,27.77
220813,4.1937,4.2059,4.1831,50.97,0.5083,DISCH,27.77
221736,4.1927,4.2047,4.1795,50.631,0.5086,DISCH,27.78
222682,4.1931,4.2047,4.1834,50.581,0.5085,DISCH,27.81
223709,4.1925,4.2027,4.1814,51.159,0.5075,DISCH,27.77
224665,4.1923,4.2032,4.1813,50.736,0.5115,DISCH,27.79
225600,4.1946,4.2056,4.1819,50.664,0.5094,DISCH,27.79
226607,4.1932,4.2035,4.1826,50.68,0.5093,DISCH,27.75
227574,4.1934,4.2056,4.1803,51.262,0.5091,DISCH,27.79
228625,4.1933,4.2022,4.1816,50.969,0.5083,DISCH,27.79
229633,4.192,4.2023,4.1806,51.19,0.5111,DISCH,27.79
230649,4.1942,4.2055,4.1835,51.422,0.5102,DISCH,27.8
231653,4.1933,4.2038,4.1816,50.82,0.51,DISCH,27.76
232655,4.192,4.2038,4.1817,50.86,0.5093,DISCH,27.74
233607,4.191,4.2035,4.1785,50.939,0.5094,DISCH,27.76
234605,4.1933,4.2056,4.1821,51.131,0.5099,DISCH,27.8
235638,4.1927,4.2045,4.1794,51.131,0.5102,DISCH,27.78
236677,4.1924,4.2029,4.1806,50.843,0.5103,DISCH,27.82
237700,4.192,4.2023,4.1807,50.721,0.5098,DISCH,27.81
238678,4.191,4.2027,4.1804,50.794,0.5094,DISCH,27.82
239731,4.1934,4.2039,4.1823,51.014,0.5107,DISCH,27.77
240714,4.1932,4.2028,4.1812,51.252,0.5093,DISCH,27.79
241710,4.1935,4.2045,4.1833,50.929,0.509,DISCH,27.8
242700,4.1923,4.2031,4.182,50.469,0.5076,DISCH,27.79
243680,4.1941,4.2052,4.1833,50.587,0.5078,DISCH,27.78
244655,4.1939,4.2061,4.182,51.082,0.5087,DISCH,27.77
245689,4.1918,4.2043,4.1812,50.875,0.5094,DISCH,27.76
246674,4.1915,4.2035,4.179,50.809,0.5085,DISCH,27.77
247627,4.1928,4.2048,4.1809,50.89,0.5081,DISCH,27.78
248642,4.1918,4.2026,4.1797,50.676,0.5082,DISCH,27.75
249677,4.1918,4.204,4.1803,50.615,0.5077,DISCH,27.76
250689,4.1922,4.2041,4.1804,50.699,0.5092,DISCH,27.81
251731,4.1919,4.2039,4.1821,50.582,0.5078,DISCH,27.79
252712,4.1907,4.2009,4.1798,50.734,0.5081,DISCH,27.8
253686,4.1929,4.2044,4.1822,50.758,0.5073,DISCH,27.77
254727,4.1927,4.2029,4.1798,50.696,0.5101,DISCH,27.76
255742,4.1919,4.204,4.1815,50.725,0.5088,DISCH,27.81
256777,4.193,4.2061,4.1825,50.691,0.5077,DISCH,27.79
257807,4.1926,4.2032,4.1812,50.69,0.5096,DISCH,27.75
258821,4.1889,4.2001,4.1771,50.588,0.5097,DISCH,27.78
259787,4.1927,4.2038,4.1807,51.158,0.5085,DISCH,27.82
260800,4.1931,4.2047,4.1834,50.818,0.5072,DISCH,27.76
261801,4.1918,4.2033,4.1809,50.706,0.5062,DISCH,27.79
262841,4.1928,4.2036,4.1829,50.872,0.5081,DISCH,27.79
263889,4.1911,4.2012,4.18,50.838,0.5087,DISCH,27.82
264908,4.1916,4.203,4.1801,51.172,0.5099,DISCH,27.78
265905,4.1916,4.2025,4.1795,51.243,0.5107,DISCH,27.76
266952,4.1922,4.205,4.1819,50.952,0.5089,DISCH,27.79
267943,4.1907,4.1997,4.1788,50.544,0.5094,DISCH,27.83
268938,4.1918,4.2025,4.1812,50.843,0.5083,DISCH,27.78
269936,4.1914,4.2032,4.1812,50.846,0.5088,DISCH,27.78
270916,4.1921,4.2028,4.18,51.086,0.5105,DISCH,27.78
271884,4.193,4.2037,4.1805,50.819,0.5082,DISCH,27.79
272889,4.1902,4.2016,4.1817,50.831,0.5085,DISCH,27.82
273876,4.1935,4.2041,4.1813,50.831,0.5083,DISCH,27.74
274868,4.1912,4.2032,4.1785,50.653,0.5077,DISCH,27.75
275861,4.1924,4.2032,4.1805,50.668,0.5098,DISCH,27.81
276904,4.1913,4.2021,4.1806,51.074,0.51,DISCH,27.75
277866,4.1907,4.2024,4.1792,50.842,0.5089,DISCH,27.76
278840,4.191,4.2012,4.1799,50.943,0.5107,DISCH,27.78
279905,4.1924,4.2039,4.1813,51.269,0.5102,DISCH,27.81
280924,4.19,4.2009,4.1788,50.617,0.5081,DISCH,27.79
281872,4.191,4.2032,4.1799,50.933,0.5079,DISCH,27.77
282842,4.1924,4.204,4.1811,51.004,0.5099,DISCH,27.77
283851,4.1916,4.2028,4.1808,50.896,0.5089,DISCH,27.78
284858,4.1914,4.2017,4.1796,51.054,0.5095,DISCH,27.79
285849,4.1914,4.2023,4.18,50.904,0.5097,DISCH,27.78
286902,4.1915,4.2038,4.1786,50.644,0.5089,DISCH,27.78
287848,4.1912,4.2024,4.1801,51.157,0.511,DISCH,27.78
288838,4.1917,4.2033,4.181,51.067,0.5091,DISCH,27.76
289791,4.1914,4.2026,4.181,50.868,0.5093,DISCH,27.76
290768,4.19,4.1997,4.1796,50.951,0.5082,DISCH,27.78
291775,4.1905,4.2011,4.1782,51.015,0.5093,DISCH,27.79
292771,4.19,4.2013,4.1777,51.13,0.5085,DISCH,27.77
293770,4.1899,4.2015,4.1778,50.952,0.5098,DISCH,27.79
294751,4.191,4.2021,4.1798,51.098,0.5095,DISCH,27.79
295747,4.1911,4.2027,4.1803,50.789,0.5095,DISCH,27.78
296734,4.1918,4.2041,4.1802,50.637,0.5089,DISCH,27.83
297783,4.1897,4.1992,4.1767,50.701,0.5083,DISCH,27.78
298787,4.1894,4.2,4.1795,51.184,0.5091,DISCH,27.74
299838,4.1885,4.1977,4.1758,51.217,0.5093,DISCH,27.81
300867,4.1926,4.2022,4.182,50.654,0.5073,DISCH,27.77
301874,4.1893,4.1985,4.1754,50.95,0.5081,DISCH,27.79
302891,4.1908,4.2014,4.1795,50.79,0.5082,DISCH,27.77
303882,4.1904,4.2018,4.1804,51.055,0.5108,DISCH,27.77
304838,4.1905,4.2021,4.1783,50.852,0.5084,DISCH,27.77
305831,4.1909,4.2023,4.1808,50.821,0.51,DISCH,27.78
306856,4.1903,4.2008,4.1785,50.986,0.5097,DISCH,27.76
307848,4.1917,4.2037,4.1803,50.504,0.5078,DISCH,27.78
308872,4.1895,4.201,4.1771,50.986,0.5094,DISCH,27.79
309883,4.1893,4.202,4.1776,50.785,0.5084,DISCH,27.75
310831,4.1904,4.2012,4.1776,50.469,0.5082,DISCH,27.82
311859,4.1894,4.2,4.178,51.128,0.51,DISCH,27.8
312843,4.1929,4.2036,4.1826,50.949,0.5073,DISCH,27.77
313802,4.1905,4.202,4.1796,51.027,0.5098,DISCH,27.77
314834,4.1913,4.2038,4.1804,51.114,0.5107,DISCH,27.77
315836,4.1902,4.2028,4.1784,50.711,0.5079,DISCH,27.77
316855,4.1901,4.1998,4.18,51.057,0.5094,DISCH,27.79
317858,4.1906,4.2018,4.1798,50.826,0.5081,DISCH,27.81
318856,4.1908,4.2003,4.1794,50.668,0.5088,DISCH,27.77
319796,4.1916,4.2021,4.18,50.775,0.5101,DISCH,27.78
320830,4.1908,4.2022,4.1793,50.792,0.5079,DISCH,27.8
321796,4.1908,4.2017,4.1822,50.523,0.5092,DISCH,27.78
322745,4.1908,4.2005,4.18,50.808,0.5091,DISCH,27.74
323783,4.19,4.2014,4.1788,50.557,0.508,DISCH,27.82
324795,4.1912,4.2037,4.1804,50.622,0.5093,DISCH,27.78
325794,4.1906,4.2021,4.18,50.838,0.5104,DISCH,27.77
326852,4.1899,4.2014,4.1796,50.788,0.5078,DISCH,27.76
327804,4.1905,4.201,4.1783,50.822,0.5088,DISCH,27.8
328845,4.1902,4.2022,4.178,50.656,0.509,DISCH,27.78
329855,4.1904,4.2004,4.1797,50.971,0.5106,DISCH,27.8
330845,4.189,4.2016,4.1774,50.05,0.5076,DISCH,27.78
331843,4.1903,4.2023,4.1814,50.906,0.5085,DISCH,27.78
332833,4.1916,4.2023,4.1796,50.815,0.5099,DISCH,27.77
333818,4.1897,4.2009,4.1769,51.123,0.5095,DISCH,27.79
334855,4.1909,4.2013,4.18,51.459,0.5097,DISCH,27.78
335854,4.1894,4.2008,4.179,51.036,0.5106,DISCH,27.82
336875,4.1921,4.2028,4.1807,50.686,0.5085,DISCH,27.78
337855,4.1875,4.1986,4.1772,50.73,0.5081,DISCH,27.8
338867,4.1896,4.2004,4.1781,50.857,0.5096,DISCH,27.8
339836,4.1901,4.2017,4.1788,50.886,0.5087,DISCH,27.78
340805,4.1919,4.2036,4.1815,50.675,0.5088,DISCH,27.77
341817,4.1897,4.2021,4.1785,51.009,0.5095,DISCH,27.8
342841,4.1898,4.2007,4.1778,51.252,0.5096,DISCH,27.79
343847,4.1876,4.1993,4.1757,51.001,0.5086,DISCH,27.8
344884,4.1872,4.199,4.1752,50.737,0.508,DISCH,27.76
345859,4.1902,4.2028,4.1798,50.845,0.5088,DISCH,27.76
346878,4.1922,4.2039,4.1806,51.146,0.5107,DISCH,27.79
347837,4.189,4.1993,4.1783,51.288,0.5088,DISCH,27.8
348796,4.1891,4.2016,4.1785,50.758,0.509,DISCH,27.81
349776,4.1897,4.2013,4.1773,50.77,0.5091,DISCH,27.8
350685,4.1905,4.2026,4.1791,50.819,0.5094,DISCH,27.75
351679,4.1903,4.1994,4.1776,51.098,0.5081,DISCH,27.75
352703,4.1896,4.2007,4.1787,50.822,0.5091,DISCH,27.82
353669,4.1883,4.2,4.1767,50.799,0.5084,DISCH,27.8
354618,4.1898,4.2002,4.1802,50.544,0.5086,DISCH,27.79
355589,4.1889,4.1986,4.177,50.842,0.5094,DISCH,27.79
356595,4.1891,4.1999,4.177,51.086,0.5095,DISCH,27.8
357584,4.1885,4.1997,4.1778,50.85,0.5095,DISCH,27.78
358616,4.1893,4.2006,4.177,50.991,0.5094,DISCH,27.79
359589,4.1889,4.1994,4.1773,50.703,0.5069,DISCH,27.77
360564,4.1896,4.2023,4.1779,50.633,0.5077,DISCH,27.77
361591,4.1882,4.2,4.1761,50.85,0.5093,DISCH,27.78
362619,4.1887,4.2011,4.1756,50.523,0.5084,DISCH,27.77
363648,4.1865,4.1973,4.1738,51.071,0.5091,DISCH,27.78
364616,4.1874,4.1993,4.1776,50.939,0.5078,DISCH,27.82
365631,4.1894,4.2,4.1793,50.69,0.5098,DISCH,27.81
366604,4.1883,4.2004,4.1776,50.604,0.5068,DISCH,27.75
367683,4.1874,4.1981,4.1767,50.718,0.5089,DISCH,27.79
368740,4.1901,4.203,4.1797,51.14,0.5097,DISCH,27.8
369766,4.1886,4.1989,4.1768,51.013,0.5097,DISCH,27.78
370791,4.1879,4.2006,4.178,51.134,0.5084,DISCH,27.78
371795,4.1898,4.2009,4.1801,50.976,0.5118,DISCH,27.78
372779,4.188,4.2,4.1771,50.882,0.5081,DISCH,27.77
373777,4.1871,4.198,4.1768,50.824,0.5104,DISCH,27.78
374750,4.1881,4.1984,4.1763,50.864,0.5088,DISCH,27.78
375680,4.1888,4.1992,4.1779,51.394,0.5094,DISCH,27.82
376701,4.1897,4.2015,4.1776,50.785,0.5084,DISCH,27.78
377666,4.1871,4.1984,4.1758,50.941,0.509,DISCH,27.77
378634,4.1901,4.201,4.179,50.877,0.5091,DISCH,27.79
379653,4.1867,4.1978,4.1759,51.097,0.5116,DISCH,27.77
380654,4.1874,4.1975,4.1775,51.056,0.5085,DISCH,27.76
381635,4.189,4.2003,4.1783,50.954,0.5086,DISCH,27.76
382638,4.1886,4.1985,4.177,51.407,0.5104,DISCH,27.81
383634,4.1864,4.1964,4.1752,50.816,0.5087,DISCH,27.8
384687,4.1882,4.2008,4.1762,50.793,0.5087,DISCH,27.81
385672,4.1869,4.1972,4.1753,51.403,0.5098,DISCH,27.78
386688,4.1869,4.198,4.1745,50.759,0.5093,DISCH,27.79
387671,4.188,4.1994,4.1767,50.971,0.5103,DISCH,27.8
388636,4.1882,4.1979,4.1777,50.544,0.5085,DISCH,27.79
